number,street,city,latGold,lonGold,geoapi_id,request_id,lat,long,accuracy,public_place
       121,HORACIO ROMEU,SAO PAULO,-23.489603,-46.751404,MapBox,13667,-23.489463,-46.751761,0.787619,HORACIO ROMEU
674,RUA BELO JARDIM,SAO PAULO,-23.489503,-46.751107,MapBox,13668,-23.48602,-46.751503,0.795556,RUA BELO JARDIM
674,RUA BELO JARDIM,SAO PAULO,-23.489503,-46.751107,OpenRouteService,13668,-23.485826,-46.751268,0.8,RUA BELO JARDIM
674,RUA BELO JARDIM,SAO PAULO,-23.489503,-46.751107,TomTom,13668,-23.44349,-46.52656,13.7062225342,RUA BELO JARDIM
674,RUA BELO JARDIM,SAO PAULO,-23.489503,-46.751107,Google,13668,-23.4858315,-46.7517443,,RUA BELO JARDIM
1820,RUA JOAQUIM DE OLIVEIRA FREITAS,SAO PAULO,-23.491888,-46.745028,OpenRouteService,13669,-23.570533,-46.663713,0.6,RUA JOAQUIM DE OLIVEIRA FREITAS
1820,RUA JOAQUIM DE OLIVEIRA FREITAS,SAO PAULO,-23.491888,-46.745028,TomTom,13669,-23.49162,-46.74495,16.4244728088,RUA JOAQUIM DE OLIVEIRA FREITAS
1820,RUA JOAQUIM DE OLIVEIRA FREITAS,SAO PAULO,-23.491888,-46.745028,MapBox,13669,-23.492637,-46.745153,0.806667,RUA JOAQUIM DE OLIVEIRA FREITAS
1820,RUA JOAQUIM DE OLIVEIRA FREITAS,SAO PAULO,-23.491888,-46.745028,Google,13669,-23.4917407,-46.7450225,,RUA JOAQUIM DE OLIVEIRA FREITAS
438,RUA GENERAL LAURO CAVALCANTI DE FARIAS,SAO PAULO,-23.490208,-46.747254,Google,13670,-23.4900672,-46.7469312,,RUA GENERAL LAURO CAVALCANTI DE FARIAS
438,RUA GENERAL LAURO CAVALCANTI DE FARIAS,SAO PAULO,-23.490208,-46.747254,MapBox,13670,-23.490122,-46.746826,0.810707,RUA GENERAL LAURO CAVALCANTI DE FARIAS
438,RUA GENERAL LAURO CAVALCANTI DE FARIAS,SAO PAULO,-23.490208,-46.747254,OpenRouteService,13670,-23.490119,-46.746693,0.8,RUA GENERAL LAURO CAVALCANTI DE FARIAS
438,RUA GENERAL LAURO CAVALCANTI DE FARIAS,SAO PAULO,-23.490208,-46.747254,TomTom,13670,-23.49011,-46.74682,20.593963623,RUA GENERAL LAURO CAVALCANTI DE FARIAS
SN,RUA SANTA ALBINA,SAO PAULO,-23.480238,-46.748642,OpenRouteService,13671,-23.585989,-46.728142,0.8,RUA SANTA ALBINA
SN,RUA SANTA ALBINA,SAO PAULO,-23.480238,-46.748642,Google,13671,-23.5859604,-46.7281703,,RUA SANTA ALBINA
SN,RUA SANTA ALBINA,SAO PAULO,-23.480238,-46.748642,MapBox,13671,-23.5869978,-46.7273433,0.74,RUA SANTA ALBINA
SN,RUA SANTA ALBINA,SAO PAULO,-23.480238,-46.748642,TomTom,13671,-23.58598,-46.72813,12.6943740845,RUA SANTA ALBINA
99,RUA ALBERTO VEIGA,SAO PAULO,-23.481389,-46.746008,Google,13672,-23.4817161,-46.7461964,,RUA ALBERTO VEIGA
99,RUA ALBERTO VEIGA,SAO PAULO,-23.481389,-46.746008,MapBox,13672,-23.481525,-46.746144,0.795556,RUA ALBERTO VEIGA
99,RUA ALBERTO VEIGA,SAO PAULO,-23.481389,-46.746008,OpenRouteService,13672,-23.481652,-46.746143,0.8,RUA ALBERTO VEIGA
99,RUA ALBERTO VEIGA,SAO PAULO,-23.481389,-46.746008,TomTom,13672,-23.48142,-46.74596,14.2824602127,RUA ALBERTO VEIGA
513,AVENIDA SANTA MONICA,SAO PAULO,-23.479289,-46.747626,Google,13673,-23.4793164,-46.7477548,,AVENIDA SANTA MONICA
513,AVENIDA SANTA MONICA,SAO PAULO,-23.479289,-46.747626,MapBox,13673,-23.479391,-46.7474206,0.74,AVENIDA SANTA MONICA
513,AVENIDA SANTA MONICA,SAO PAULO,-23.479289,-46.747626,OpenRouteService,13673,-23.478691,-46.747692,0.8,AVENIDA SANTA MONICA
513,AVENIDA SANTA MONICA,SAO PAULO,-23.479289,-46.747626,TomTom,13673,-23.47931,-46.74772,14.2824602127,AVENIDA SANTA MONICA
249,IRMA MARIA AMELIA,SAO PAULO,-23.480343,-46.743801,MapBox,13674,-23.480376,-46.743939,0.795556,IRMA MARIA AMELIA
249,IRMA MARIA AMELIA,SAO PAULO,-23.480343,-46.743801,TomTom,13674,-23.48036,-46.74371,14.211019516,IRMA MARIA AMELIA
249,IRMA MARIA AMELIA,SAO PAULO,-23.480343,-46.743801,Google,13674,-23.4803642,-46.7438636,,IRMA MARIA AMELIA
249,IRMA MARIA AMELIA,SAO PAULO,-23.480343,-46.743801,OpenRouteService,13674,-23.480309,-46.743783,0.8,IRMA MARIA AMELIA
374,RUA BRIGADEIRO GODINHO DOS SANTOS,SAO PAULO,-23.480284,-46.744913,TomTom,13675,-23.47804,-46.7424,18.5256881714,RUA BRIGADEIRO GODINHO DOS SANTOS
374,RUA BRIGADEIRO GODINHO DOS SANTOS,SAO PAULO,-23.480284,-46.744913,OpenRouteService,13675,-23.478596,-46.743352,0.8,RUA BRIGADEIRO GODINHO DOS SANTOS
374,RUA BRIGADEIRO GODINHO DOS SANTOS,SAO PAULO,-23.480284,-46.744913,MapBox,13675,-23.478173,-46.742896,0.806667,RUA BRIGADEIRO GODINHO DOS SANTOS
374,RUA BRIGADEIRO GODINHO DOS SANTOS,SAO PAULO,-23.480284,-46.744913,Google,13675,-23.4778729,-46.7426075,,RUA BRIGADEIRO GODINHO DOS SANTOS
2400,TURISTICA DO JARAGUA,SAO PAULO,-23.474364,-46.754242,MapBox,13676,-23.470244,-46.754328,0.723333,TURISTICA DO JARAGUA
2400,TURISTICA DO JARAGUA,SAO PAULO,-23.474364,-46.754242,OpenRouteService,13676,-23.472911,-46.755394,1.0,TURISTICA DO JARAGUA
2400,TURISTICA DO JARAGUA,SAO PAULO,-23.474364,-46.754242,TomTom,13676,-23.47513,-46.75361,14.211019516,TURISTICA DO JARAGUA
2400,TURISTICA DO JARAGUA,SAO PAULO,-23.474364,-46.754242,Google,13676,-23.4712228,-46.7545898,,TURISTICA DO JARAGUA
SN,TURISTICA DO JARAGUA,SAO PAULO,-23.472439,-46.755364,MapBox,13677,-23.489944,-46.7551922,0.678889,TURISTICA DO JARAGUA
SN,TURISTICA DO JARAGUA,SAO PAULO,-23.472439,-46.755364,OpenRouteService,13677,-23.472911,-46.755394,1.0,TURISTICA DO JARAGUA
SN,TURISTICA DO JARAGUA,SAO PAULO,-23.472439,-46.755364,TomTom,13677,-23.47558,-46.75544,12.6285047531,TURISTICA DO JARAGUA
SN,TURISTICA DO JARAGUA,SAO PAULO,-23.472439,-46.755364,Google,13677,-23.4792899,-46.7543784,,TURISTICA DO JARAGUA
87,CACHOEIRO DO ITAPEMIRM,SAO PAULO,-23.472253,-46.755499,MapBox,13678,-23.428114,-46.510522,0.849444,CACHOEIRO DO ITAPEMIRM
87,CACHOEIRO DO ITAPEMIRM,SAO PAULO,-23.472253,-46.755499,OpenRouteService,13678,-20.489613,-47.42802,1.0,CACHOEIRO DO ITAPEMIRM
87,CACHOEIRO DO ITAPEMIRM,SAO PAULO,-23.472253,-46.755499,Google,13678,-23.4727008,-46.7552043,,CACHOEIRO DO ITAPEMIRM
87,CACHOEIRO DO ITAPEMIRM,SAO PAULO,-23.472253,-46.755499,TomTom,13678,-23.96114,-46.37154,13.2557792664,CACHOEIRO DO ITAPEMIRM
75,CACHOEIRO DE ITAPEMIRIM,SAO PAULO,-23.472328,-46.755453,OpenRouteService,13679,-23.570533,-46.663713,0.6,CACHOEIRO DE ITAPEMIRIM
75,CACHOEIRO DE ITAPEMIRIM,SAO PAULO,-23.472328,-46.755453,MapBox,13679,-23.42814,-46.510588,0.849722,CACHOEIRO DE ITAPEMIRIM
75,CACHOEIRO DE ITAPEMIRIM,SAO PAULO,-23.472328,-46.755453,TomTom,13679,-23.53139,-46.50972,14.0533046722,CACHOEIRO DE ITAPEMIRIM
75,CACHOEIRO DE ITAPEMIRIM,SAO PAULO,-23.472328,-46.755453,Google,13679,-23.531361,-46.5094839,,CACHOEIRO DE ITAPEMIRIM
262,AVENIDA INACIA DE TOLEDO,SAO PAULO,-23.471082,-46.751986,Google,13680,-23.4714101,-46.7522975,,AVENIDA INACIA DE TOLEDO
262,AVENIDA INACIA DE TOLEDO,SAO PAULO,-23.471082,-46.751986,TomTom,13680,-23.47136,-46.75236,16.4314441681,AVENIDA INACIA DE TOLEDO
262,AVENIDA INACIA DE TOLEDO,SAO PAULO,-23.471082,-46.751986,OpenRouteService,13680,-23.570533,-46.663713,0.6,AVENIDA INACIA DE TOLEDO
262,AVENIDA INACIA DE TOLEDO,SAO PAULO,-23.471082,-46.751986,MapBox,13680,-23.471708,-46.752604,0.801728,AVENIDA INACIA DE TOLEDO
3710,EST TURISTICA DO JARAGUA,SAO PAULO,-23.464297,-46.7549,MapBox,13681,-23.489944,-46.7551922,0.645556,EST TURISTICA DO JARAGUA
3710,EST TURISTICA DO JARAGUA,SAO PAULO,-23.464297,-46.7549,TomTom,13681,-23.46454,-46.75547,16.2342300415,EST TURISTICA DO JARAGUA
3710,EST TURISTICA DO JARAGUA,SAO PAULO,-23.464297,-46.7549,OpenRouteService,13681,-23.570533,-46.663713,0.6,EST TURISTICA DO JARAGUA
3710,EST TURISTICA DO JARAGUA,SAO PAULO,-23.464297,-46.7549,Google,13681,-23.4650013,-46.75493090000001,,EST TURISTICA DO JARAGUA
313,J DE MATOS COMENDADOR,SAO PAULO,-23.465088,-46.752997,OpenRouteService,13682,-23.570533,-46.663713,0.6,J DE MATOS COMENDADOR
313,J DE MATOS COMENDADOR,SAO PAULO,-23.465088,-46.752997,MapBox,13682,-23.6637688,-46.5996413,0.667778,J DE MATOS COMENDADOR
313,J DE MATOS COMENDADOR,SAO PAULO,-23.465088,-46.752997,TomTom,13682,-23.46457,-46.75328,15.8333911896,J DE MATOS COMENDADOR
313,J DE MATOS COMENDADOR,SAO PAULO,-23.465088,-46.752997,Google,13682,-23.609538,-46.6941567,,J DE MATOS COMENDADOR
386,AVENIDA COMENDADOR JOSE DE MATOS,SAO PAULO,-23.464493,-46.753173,TomTom,13683,-23.46386,-46.75334,18.3178634644,AVENIDA COMENDADOR JOSE DE MATOS
386,AVENIDA COMENDADOR JOSE DE MATOS,SAO PAULO,-23.464493,-46.753173,OpenRouteService,13683,-23.570533,-46.663713,0.6,AVENIDA COMENDADOR JOSE DE MATOS
386,AVENIDA COMENDADOR JOSE DE MATOS,SAO PAULO,-23.464493,-46.753173,MapBox,13683,-23.4650705,-46.7527503,0.717778,AVENIDA COMENDADOR JOSE DE MATOS
386,AVENIDA COMENDADOR JOSE DE MATOS,SAO PAULO,-23.464493,-46.753173,Google,13683,-23.4646967,-46.7530697,,AVENIDA COMENDADOR JOSE DE MATOS
18,RUA JOSE MARCOS DE ALBUQUERQUE,SAO PAULO,-23.478136,-46.749668,Google,13684,-23.4748331,-46.7493275,,RUA JOSE MARCOS DE ALBUQUERQUE
18,RUA JOSE MARCOS DE ALBUQUERQUE,SAO PAULO,-23.478136,-46.749668,OpenRouteService,13684,-23.570533,-46.663713,0.6,RUA JOSE MARCOS DE ALBUQUERQUE
18,RUA JOSE MARCOS DE ALBUQUERQUE,SAO PAULO,-23.478136,-46.749668,MapBox,13684,-23.557122,-46.6862713,0.626611,RUA JOSE MARCOS DE ALBUQUERQUE
18,RUA JOSE MARCOS DE ALBUQUERQUE,SAO PAULO,-23.478136,-46.749668,TomTom,13684,-23.47478,-46.74918,18.3178634644,RUA JOSE MARCOS DE ALBUQUERQUE
642,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR,SAO PAULO,-23.471339,-46.750811,MapBox,13685,-23.4761075,-46.7499858,0.654444,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR
642,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR,SAO PAULO,-23.471339,-46.750811,Google,13685,-23.4744774,-46.7497826,,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR
642,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR,SAO PAULO,-23.471339,-46.750811,OpenRouteService,13685,-23.570533,-46.663713,0.6,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR
642,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR,SAO PAULO,-23.471339,-46.750811,TomTom,13685,-23.47677,-46.75027,18.2628135681,JOAQUIM BANDEIRA DE MELLO DESEMBARGADOR
275,MAJOR ALFREDO ROMAO,SAO PAULO,-23.471173,-46.75054,TomTom,13686,-23.47123,-46.75057,14.211019516,MAJOR ALFREDO ROMAO
275,MAJOR ALFREDO ROMAO,SAO PAULO,-23.471173,-46.75054,OpenRouteService,13686,-23.570533,-46.663713,0.6,MAJOR ALFREDO ROMAO
275,MAJOR ALFREDO ROMAO,SAO PAULO,-23.471173,-46.75054,MapBox,13686,-23.472103,-46.752243,0.795556,MAJOR ALFREDO ROMAO
275,MAJOR ALFREDO ROMAO,SAO PAULO,-23.471173,-46.75054,Google,13686,-23.471467,-46.7505129,,MAJOR ALFREDO ROMAO
99,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.471092,-46.74663,MapBox,13687,-23.4694087,-46.7479901,0.74,AVENIDA GUILHERME MANKEL
99,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.471092,-46.74663,OpenRouteService,13687,-23.471372,-46.746804,0.8,AVENIDA GUILHERME MANKEL
99,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.471092,-46.74663,Google,13687,-23.471123,-46.7465836,,AVENIDA GUILHERME MANKEL
99,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.471092,-46.74663,TomTom,13687,-23.47099,-46.74644,14.2824602127,AVENIDA GUILHERME MANKEL
65,RUA MAJOR ALFREDO ROMAO,SAO PAULO,-23.469939,-46.748364,Google,13688,-23.4721015,-46.7524344,,RUA MAJOR ALFREDO ROMAO
65,RUA MAJOR ALFREDO ROMAO,SAO PAULO,-23.469939,-46.748364,OpenRouteService,13688,-23.471521,-46.751211,0.8,RUA MAJOR ALFREDO ROMAO
65,RUA MAJOR ALFREDO ROMAO,SAO PAULO,-23.469939,-46.748364,MapBox,13688,-23.472089,-46.752252,0.801728,RUA MAJOR ALFREDO ROMAO
65,RUA MAJOR ALFREDO ROMAO,SAO PAULO,-23.469939,-46.748364,TomTom,13688,-23.472,-46.75213,16.4244728088,RUA MAJOR ALFREDO ROMAO
382,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.469144,-46.748266,Google,13689,-23.4692533,-46.7478984,,AVENIDA GUILHERME MANKEL
382,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.469144,-46.748266,MapBox,13689,-23.469483,-46.748073,0.795556,AVENIDA GUILHERME MANKEL
382,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.469144,-46.748266,OpenRouteService,13689,-23.470431,-46.746196,0.8,AVENIDA GUILHERME MANKEL
382,AVENIDA GUILHERME MANKEL,SAO PAULO,-23.469144,-46.748266,TomTom,13689,-23.46924,-46.74807,14.2824602127,AVENIDA GUILHERME MANKEL
7,RUA ADRIAO FERREIRA,SAO PAULO,-23.492125,-46.741904,MapBox,13690,-23.492146,-46.74209,0.795556,RUA ADRIAO FERREIRA
7,RUA ADRIAO FERREIRA,SAO PAULO,-23.492125,-46.741904,Google,13690,-23.4923906,-46.7421447,,RUA ADRIAO FERREIRA
7,RUA ADRIAO FERREIRA,SAO PAULO,-23.492125,-46.741904,OpenRouteService,13690,-23.492195,-46.742505,0.8,RUA ADRIAO FERREIRA
7,RUA ADRIAO FERREIRA,SAO PAULO,-23.492125,-46.741904,TomTom,13690,-23.49209,-46.7418,14.1170272827,RUA ADRIAO FERREIRA
48,RUA WILLIS ROBERTO BANKS,SAO PAULO,-23.493894,-46.737524,TomTom,13691,-23.4939,-46.73752,16.4244728088,RUA WILLIS ROBERTO BANKS
48,RUA WILLIS ROBERTO BANKS,SAO PAULO,-23.493894,-46.737524,Google,13691,-23.4938008,-46.7376306,,RUA WILLIS ROBERTO BANKS
48,RUA WILLIS ROBERTO BANKS,SAO PAULO,-23.493894,-46.737524,MapBox,13691,-23.493917,-46.737399,0.801728,RUA WILLIS ROBERTO BANKS
48,RUA WILLIS ROBERTO BANKS,SAO PAULO,-23.493894,-46.737524,OpenRouteService,13691,-23.49268,-46.742045,0.8,RUA WILLIS ROBERTO BANKS
       951,MUTINGA,SAO PAULO,-23.487335,-46.735712,MapBox,13692,-23.487128,-46.735942,0.71963,MUTINGA
       951,MUTINGA,SAO PAULO,-23.487335,-46.735712,Google,13692,-23.4877674,-46.7354776,,MUTINGA
       951,MUTINGA,SAO PAULO,-23.487335,-46.735712,OpenRouteService,13692,-20.489613,-47.42802,1.0,MUTINGA
1406,AVENIDA MUTINGA,SAO PAULO,-23.485002,-46.740823,OpenRouteService,13693,-23.485432,-46.740157,0.8,AVENIDA MUTINGA
1406,AVENIDA MUTINGA,SAO PAULO,-23.485002,-46.740823,TomTom,13693,-23.4842,-46.74004,12.0984487534,AVENIDA MUTINGA
1406,AVENIDA MUTINGA,SAO PAULO,-23.485002,-46.740823,Google,13693,-23.4852,-46.7399464,,AVENIDA MUTINGA
1406,AVENIDA MUTINGA,SAO PAULO,-23.485002,-46.740823,MapBox,13693,-23.485248,-46.740095,0.787619,AVENIDA MUTINGA
56,RUA JOANESIA,SAO PAULO,-23.48378,-46.741487,TomTom,13694,-23.48376,-46.74121,12.0984487534,RUA JOANESIA
56,RUA JOANESIA,SAO PAULO,-23.48378,-46.741487,OpenRouteService,13694,-23.483829,-46.741296,0.8,RUA JOANESIA
56,RUA JOANESIA,SAO PAULO,-23.48378,-46.741487,Google,13694,-23.4836766,-46.7412715,,RUA JOANESIA
56,RUA JOANESIA,SAO PAULO,-23.48378,-46.741487,MapBox,13694,-23.4837562,-46.7407063,0.724127,RUA JOANESIA
82,RUA BENEDITO GAMA RICARDO,SAO PAULO,-23.485996,-46.735469,OpenRouteService,13695,-23.486449,-46.734952,0.8,RUA BENEDITO GAMA RICARDO
82,RUA BENEDITO GAMA RICARDO,SAO PAULO,-23.485996,-46.735469,Google,13695,-23.4855215,-46.7356665,,RUA BENEDITO GAMA RICARDO
82,RUA BENEDITO GAMA RICARDO,SAO PAULO,-23.485996,-46.735469,MapBox,13695,-23.485752,-46.73601,0.801728,RUA BENEDITO GAMA RICARDO
82,RUA BENEDITO GAMA RICARDO,SAO PAULO,-23.485996,-46.735469,TomTom,13695,-23.4857,-46.73574,16.4244728088,RUA BENEDITO GAMA RICARDO
141,RUA FRANCISCO SAVERIO ORLANDI,SAO PAULO,-23.486976,-46.734202,MapBox,13696,-23.486499,-46.73379,0.801728,RUA FRANCISCO SAVERIO ORLANDI
141,RUA FRANCISCO SAVERIO ORLANDI,SAO PAULO,-23.486976,-46.734202,TomTom,13696,-23.48678,-46.73386,16.4244728088,RUA FRANCISCO SAVERIO ORLANDI
141,RUA FRANCISCO SAVERIO ORLANDI,SAO PAULO,-23.486976,-46.734202,OpenRouteService,13696,-23.486454,-46.733782,0.8,RUA FRANCISCO SAVERIO ORLANDI
141,RUA FRANCISCO SAVERIO ORLANDI,SAO PAULO,-23.486976,-46.734202,Google,13696,-23.4865273,-46.7339857,,RUA FRANCISCO SAVERIO ORLANDI
3748,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.494581,-46.730576,MapBox,13697,-23.494719,-46.730448,0.806667,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
3748,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.494581,-46.730576,OpenRouteService,13697,-23.46679,-46.724209,0.8,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
3748,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.494581,-46.730576,TomTom,13697,-23.40577,-46.73499,18.6059894562,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
3748,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.494581,-46.730576,Google,13697,-23.494556,-46.73058899999999,,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
559,INHACORA,SAO PAULO,-23.492792,-46.72928,MapBox,13698,-23.493015,-46.729106,0.71963,INHACORA
559,INHACORA,SAO PAULO,-23.492792,-46.72928,OpenRouteService,13698,-23.570533,-46.663713,0.6,INHACORA
559,INHACORA,SAO PAULO,-23.492792,-46.72928,TomTom,13698,-23.41922,-46.75559,8.2131462097,INHACORA
559,INHACORA,SAO PAULO,-23.492792,-46.72928,Google,13698,-23.4932367,-46.72892479999999,,INHACORA
194,RUA DOUTOR ARGEMIRO COUTO DE BARROS,SAO PAULO,-23.494505,-46.728809,MapBox,13699,-23.4936808,-46.728382,0.689495,RUA DOUTOR ARGEMIRO COUTO DE BARROS
194,RUA DOUTOR ARGEMIRO COUTO DE BARROS,SAO PAULO,-23.494505,-46.728809,TomTom,13699,-23.49445,-46.72871,20.593963623,RUA DOUTOR ARGEMIRO COUTO DE BARROS
194,RUA DOUTOR ARGEMIRO COUTO DE BARROS,SAO PAULO,-23.494505,-46.728809,Google,13699,-23.4947884,-46.7288955,,RUA DOUTOR ARGEMIRO COUTO DE BARROS
194,RUA DOUTOR ARGEMIRO COUTO DE BARROS,SAO PAULO,-23.494505,-46.728809,OpenRouteService,13699,-23.570533,-46.663713,0.6,RUA DOUTOR ARGEMIRO COUTO DE BARROS
209,RUA TATSUO OKACHI,SAO PAULO,-23.494085,-46.727357,OpenRouteService,13700,-23.49381,-46.727104,0.8,RUA TATSUO OKACHI
209,RUA TATSUO OKACHI,SAO PAULO,-23.494085,-46.727357,MapBox,13700,-23.4946168,-46.7276524,0.74,RUA TATSUO OKACHI
209,RUA TATSUO OKACHI,SAO PAULO,-23.494085,-46.727357,TomTom,13700,-23.49406,-46.72736,14.2824602127,RUA TATSUO OKACHI
209,RUA TATSUO OKACHI,SAO PAULO,-23.494085,-46.727357,Google,13700,-23.4941472,-46.7274579,,RUA TATSUO OKACHI
192,RUA PEDRO MARIGLIANI,SAO PAULO,-23.492464,-46.729213,TomTom,13701,-23.493,-46.72944,14.2824602127,RUA PEDRO MARIGLIANI
192,RUA PEDRO MARIGLIANI,SAO PAULO,-23.492464,-46.729213,MapBox,13701,-23.491862,-46.72859,0.795556,RUA PEDRO MARIGLIANI
192,RUA PEDRO MARIGLIANI,SAO PAULO,-23.492464,-46.729213,Google,13701,-23.4933403,-46.7296116,,RUA PEDRO MARIGLIANI
192,RUA PEDRO MARIGLIANI,SAO PAULO,-23.492464,-46.729213,OpenRouteService,13701,-23.492869,-46.729414,0.8,RUA PEDRO MARIGLIANI
SN,RUA JULIO NICOLAU,SAO PAULO,-23.492176,-46.727564,TomTom,13702,-23.49218,-46.72773,12.5686864853,RUA JULIO NICOLAU
SN,RUA JULIO NICOLAU,SAO PAULO,-23.492176,-46.727564,Google,13702,-23.4921497,-46.7277001,,RUA JULIO NICOLAU
SN,RUA JULIO NICOLAU,SAO PAULO,-23.492176,-46.727564,OpenRouteService,13702,-23.492182,-46.727703,0.8,RUA JULIO NICOLAU
SN,RUA JULIO NICOLAU,SAO PAULO,-23.492176,-46.727564,MapBox,13702,-23.4921362,-46.7275729,0.74,RUA JULIO NICOLAU
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,TomTom,13703,-23.49028,-46.73035,16.3401527405,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,MapBox,13703,-23.4899713,-46.7281795,0.752346,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,OpenRouteService,13703,-23.490397,-46.731084,0.8,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,Google,13703,-23.4902732,-46.7303032,,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,TomTom,13704,-23.49028,-46.73035,16.3401527405,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,Google,13704,-23.4902732,-46.7303032,,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,OpenRouteService,13704,-23.490397,-46.731084,0.8,SOLDADO JOAO DE OLIVEIRA
374,SOLDADO JOAO DE OLIVEIRA,SAO PAULO,-23.490262,-46.730235,MapBox,13704,-23.4899713,-46.7281795,0.752346,SOLDADO JOAO DE OLIVEIRA
4604,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.48945,-46.729483,TomTom,13705,-23.40577,-46.73499,18.6059894562,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
4604,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.48945,-46.729483,Google,13705,-23.4891761,-46.72889929999999,,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
4604,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.48945,-46.729483,MapBox,13705,-23.4647825,-46.7214098,0.762222,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
4604,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,SAO PAULO,-23.48945,-46.729483,OpenRouteService,13705,-23.46679,-46.724209,0.8,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES
381,RUA PROFESSOR ARAUJO COELHO,SAO PAULO,-23.487397,-46.731126,MapBox,13706,-23.4860329,-46.7306967,0.752346,RUA PROFESSOR ARAUJO COELHO
381,RUA PROFESSOR ARAUJO COELHO,SAO PAULO,-23.487397,-46.731126,OpenRouteService,13706,-23.487006,-46.730384,0.8,RUA PROFESSOR ARAUJO COELHO
381,RUA PROFESSOR ARAUJO COELHO,SAO PAULO,-23.487397,-46.731126,Google,13706,-23.4873114,-46.7312002,,RUA PROFESSOR ARAUJO COELHO
381,RUA PROFESSOR ARAUJO COELHO,SAO PAULO,-23.487397,-46.731126,TomTom,13706,-23.48731,-46.7311,16.4244728088,RUA PROFESSOR ARAUJO COELHO
5446,AVENIDA MUTINGA,SAO PAULO,-23.488544,-46.728764,OpenRouteService,13707,-23.491232,-46.750873,0.8,AVENIDA MUTINGA
5446,AVENIDA MUTINGA,SAO PAULO,-23.488544,-46.728764,Google,13707,-23.5071474,-46.7607152,,AVENIDA MUTINGA
5446,AVENIDA MUTINGA,SAO PAULO,-23.488544,-46.728764,MapBox,13707,-23.4958093,-46.7508782,0.724127,AVENIDA MUTINGA
5446,AVENIDA MUTINGA,SAO PAULO,-23.488544,-46.728764,TomTom,13707,-23.50722,-46.7606,12.0984487534,AVENIDA MUTINGA
        49,JOAO DE OLIVEIRA,SAO PAULO,-23.489868,-46.727336,MapBox,13708,-23.601487,-46.7497893,0.74,JOAO DE OLIVEIRA
        49,JOAO DE OLIVEIRA,SAO PAULO,-23.489868,-46.727336,Google,13708,-23.6774269,-46.6848268,,JOAO DE OLIVEIRA
        49,JOAO DE OLIVEIRA,SAO PAULO,-23.489868,-46.727336,OpenRouteService,13708,-23.570533,-46.663713,0.6,JOAO DE OLIVEIRA
206,RUA BENEDITO PEREIRA,SAO PAULO,-23.486346,-46.734616,Google,13709,-23.4861651,-46.7338535,,RUA BENEDITO PEREIRA
206,RUA BENEDITO PEREIRA,SAO PAULO,-23.486346,-46.734616,OpenRouteService,13709,-23.486379,-46.734424,0.8,RUA BENEDITO PEREIRA
